Match_ID,Player_ID,Blind,Preflop,Flop,Turn,River,Showdown,Winner,PFRF,PlayerID,matches_played,matches_pfrf,pfrf_percent,num_wins,win_percent,c_t_bets_per,s_rat,cluster,normal_rating
#301728961,hn0FGuEKamOC4w93lkpQog,posts,folds,0,0,0,0,FALSE,1,82,317,137,0.432176656,123,0.388012618,135,0.425867508,3,0.554237387
#301728961,885LXMD+qICcd15BFMNvEg,posts,0,won,0,0,0,TRUE,0,19,363,182,0.50137741,188,0.517906336,170,0.468319559,3,0.699183694
#301728949,c2tiA/SMUK+T0PsP2rCOGA,0,calls,returned,won,0,0,TRUE,0,76,257,148,0.575875486,43,0.167315175,102,0.39688716,2,0.30421809
#301728949,X+u4T/E5ANkyZLKm1YjqwQ,posts,folds,0,0,0,0,FALSE,1,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301728949,MiMarMfTeMU39pt2obBh3A,posts,calls,folds,0,0,0,FALSE,0,44,33,13,0.393939394,12,0.363636364,21,0.636363636,4,0.793084216
#301728949,yOOMTqsR9EFECI4lSNpp1A,0,folds,0,0,0,0,FALSE,1,112,909,768,0.844884488,116,0.127612761,140,0.154015402,0,0.023365527
#301728949,Ga4nLjbXWOp+RvIPu1VksQ,0,folds,0,0,0,0,FALSE,1,32,195,153,0.784615385,30,0.153846154,38,0.194871795,0,0.026050024
#301728949,4QICpZ6v7I+i8nJKeSSE8Q,0,raises,folds,0,0,0,FALSE,1,13,31,25,0.806451613,5,0.161290323,9,0.290322581,1,0.19117356
#301728990,885LXMD+qICcd15BFMNvEg,posts,folds,0,0,0,0,FALSE,1,19,363,182,0.50137741,188,0.517906336,170,0.468319559,3,0.699183694
#301728990,hn0FGuEKamOC4w93lkpQog,posts,0,won,0,0,0,TRUE,0,82,317,137,0.432176656,123,0.388012618,135,0.425867508,3,0.554237387
#301729025,yOOMTqsR9EFECI4lSNpp1A,0,folds,0,0,0,0,FALSE,1,112,909,768,0.844884488,116,0.127612761,140,0.154015402,0,0.023365527
#301729025,3wT3m+GDGtVWU1KR2MWJ1Q,posts,folds,0,0,0,0,FALSE,1,10,309,226,0.731391586,71,0.229773463,83,0.268608414,1,0.195008637
#301729025,7uKPjPg5l/gwaCxpksjtGQ,posts,folds,0,0,0,0,FALSE,1,18,203,154,0.75862069,35,0.172413793,54,0.266009852,1,0.179334522
#301729025,wyXD1O26Buq3VWHAij37Jg,0,folds,0,0,0,0,FALSE,1,110,735,593,0.806802721,117,0.159183673,174,0.236734694,0,0.034105421
#301729025,X+u4T/E5ANkyZLKm1YjqwQ,0,returned,won,0,0,0,TRUE,0,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301729025,SZZx1W5JVQ9OWvWTtKQeKQ,posts,folds,0,0,0,0,FALSE,1,58,46,30,0.652173913,19,0.413043478,26,0.565217391,3,0.731395039
#301729025,qoK7fboDgopGBWJilG69Aw,posts,0,won,0,0,0,TRUE,0,97,46,2,0.043478261,28,0.608695652,35,0.760869565,4,0.893838357
#301729026,hn0FGuEKamOC4w93lkpQog,posts,folds,0,0,0,0,FALSE,1,82,317,137,0.432176656,123,0.388012618,135,0.425867508,3,0.554237387
#301729026,885LXMD+qICcd15BFMNvEg,posts,0,won,0,0,0,TRUE,0,19,363,182,0.50137741,188,0.517906336,170,0.468319559,3,0.699183694
#301729057,qoK7fboDgopGBWJilG69Aw,posts,calls,checks,bets,bets,shows,FALSE,0,97,46,2,0.043478261,28,0.608695652,35,0.760869565,4,0.893838357
#301729057,SZZx1W5JVQ9OWvWTtKQeKQ,posts,checks,checks,calls,calls,won,TRUE,0,58,46,30,0.652173913,19,0.413043478,26,0.565217391,3,0.731395039
